Price,Year,Mileage,City,State,Vin,Make,Model,Year
10999,40000,33753,Montclair, CA,KMHD35LH4GU339317,Hyundai,Elantra,2016
13490,60000,33427,Philadelphia, PA,KMHDH6AHXEU028868,Hyundai,Elantra,2014
11493,40000,27876,Akron, OH,KMHD35LH5GU304608,Hyundai,Elantra,2016
14047,30000,25429,Livermore, CA,KMHD35LH0HU348937,Hyundai,Elantra,2017
10500,70000,50196,Southfield, MI,KMHDH6AE6DU005835,Hyundai,Elantra,2013
12000,40000,42806,Santa Rosa, CA,KMHD35LH3GU252346,Hyundai,Elantra,2016
10985,100000,84848,Millville, NJ,KMHDC8AE3AU070129,Hyundai,Elantra,2010
14047,30000,25811,Charlotte, NC,KMHD35LH1HU352172,Hyundai,Elantra,2017
13569,40000,9725,Matteson, IL,KMHD35LH6GU335673,Hyundai,Elantra,2016
13841,40000,10037,Waco, TX,KMHD35LH5GU283680,Hyundai,Elantra,2016
13547,30000,32009,Victorville, CA,KMHD35LH0HU349005,Hyundai,Elantra,2017
14047,30000,26031,Woburn, MA,KMHD35LH9HU357426,Hyundai,Elantra,2017
10964,60000,17730,Raleigh, NC,KMHD35LH7EU159696,Hyundai,Elantra,2014
11500,40000,28493,Fort Walton Beach, FL,KMHD35LH4GU304924,Hyundai,Elantra,2016
14047,30000,26124,Redmond, OR,KMHD35LH0HU349019,Hyundai,Elantra,2017
14047,30000,26179,Redmond, OR,KMHD35LH9HU350492,Hyundai,Elantra,2017
13147,30000,37024,Tampa, FL,KMHD35LH0HU349148,Hyundai,Elantra,2017
14047,30000,26241,Tucson, AZ,KMHD35LH2HU357493,Hyundai,Elantra,2017
14047,30000,26300,Jersey City, NJ,KMHD35LH1HU357565,Hyundai,Elantra,2017
14047,30000,26309,Vero Beach, FL,KMHD35LH6HU357173,Hyundai,Elantra,2017
13147,30000,37157,Sandy, UT,KMHD35LH8HU348927,Hyundai,Elantra,2017
13147,30000,37238,Victorville, CA,KMHD35LH6HU348960,Hyundai,Elantra,2017
14047,30000,26416,Fort Lauderdale, FL,KMHD35LH9HU349035,Hyundai,Elantra,2017
6995,100000,136068,Reno, NV,KMHDB8AE3AU061532,Hyundai,Elantra,2010
14047,30000,26448,Roselle, IL,KMHD35LH5HU351364,Hyundai,Elantra,2017
14047,30000,26482,Lawrenceville, GA,KMHD35LH2HU352049,Hyundai,Elantra,2017
11380,60000,54431,Stanhope, NJ,KMHDH6AH7EU024938,Hyundai,Elantra,2014
14047,30000,26502,Livermore, CA,KMHD35LH6HU350112,Hyundai,Elantra,2017
13547,30000,32538,Livermore, CA,KMHD35LH4HU350187,Hyundai,Elantra,2017
